id,name,height,period,difficulty,season
2213100200,가리산,1051,4시간 30분,하,봄
2211050100,가리왕산,1562,2시간 10분,중,여름
2710070100,가야산,1433,3시간 30분 - 4시간 50분 ,중,가을
1704060100,가지산,1241,4시간 - 6시간 5분,중,가을
2140140100,감악산,675,3시간 40분 - 4시간,중,여름
2607102300,강천산,586,2시간 45분 - 5시간 15분,중,봄/가을
2402020400,계룡산,847,3시간 10분 - 9시간 40분,상,가을
2215064300,계방산,1579,4시간 45분 - 4시간 50분,중,가을/겨울
2216100300,공작산,887,4시간 35분 - 6시간 40분,하,가을/겨울
1105040200,관악산,632,3시간 40분 - 4시간 30분,하,사계절
2303020400,구병산,876,3시간,상,가을
2805090900,금산,705,2시간 30분 - 3시간,상,봄
2307050900,금수산,1016,2시간50분 - 5시간 40분,상,봄/가을
2704390100,금오산,977,3시간 - 4시간 20분,상,여름
2810040200,금정산,801,3시간 30분,상,사계절
2612140500,깃대봉,368,2시간 - 4시간,중,봄
2702090600,남산,495,3시간 - 4시간 30분,하,여름
2724130500,내연산,711,5시간 30분 - 7시간 30분,중,여름
2514380500,내장산,764,3시간 40분 - 7시간 30분,중,가을
2404170800,대둔산,879,4시간,상,여름/가을
2210050800,대암산,1313,2시간 30분 - 4시간 30분,중,여름/가을
2707010800,대야산,931,5시간,상,여름
2412050400,덕숭산(수덕산),495,1시간 20분 - 1시간 40분,중,겨울
2505040700,덕유산(향적봉),1614,4시간 40분 - 5시간 45분,상,여름
2214180500,덕항산,1073,3시간 20분 - 4시간 10분,중,가을
2307083702,도락산,965,3시간 30분 - 5시간 10분,중,여름/가을
1110010100,도봉산(자운봉),740,3시간 30분 - 4시간,중,여름/가을
2621041300,두륜산,700,4시간 40분 - 5시간 50분,중,가을
2204151100,두타산,1357,6시간 40분 - 8시간 15분,상,가을
1401990600,마니산,472,1시간 40분 - 6시간,중,봄
2515021000,마이산,687,2시간 - 7시간,중,여름/가을
2212010400,명성산,922,3시간 - 6시간,중,여름/가을
2101021300,명지산,1252,5시간 40분 - 8시간 40분,중,여름/가을
2503060700,모악산,795,3시간 - 5시간 20분,중,봄
2622132600,무등산,1187,4시간 30분 - 7시간,중,봄/가을
2806020900,무학산,761,4시간,중,가을
2816111100,미륵산,458,40분,중,겨울
2304021500,민주지산,1242,6시간 - 7시간,중,여름/겨울
2501100600,방장산,734,2시간 - 2시간 30분,하,겨울
2210011400,방태산,1446,3시간 30분 - 4시간,중,여름
2215081700,백덕산,1350,30분 - 3시간,중,겨울
2617051500,백암산,741,5시간,중,가을
2604100800,백운산(광양),1222,3시간 30분 - 4시간,중,봄/겨울
2215034400,백운산(정선),884,2시간 - 2시간 30분,상,여름
2142141300,백운산(포천),903,5시간,중,여름
2506112300,변산,509,3시간,중,봄/여름
1103030100,북한산,836,2시간 30분 - 3시간,중,봄/여름
1303011500,비슬산,1083,1시간 - 2시간,중,봄
2213142900,삼악산,656,2시간,하,여름
2403011500,서대산,905,3시간 30분,중,가을/겨울
2501121000,선운산,335,4시간 30분,중,봄/가을
2207010900,설악산,1708,2시간 - 10시간,상,여름/가을
2717030900,성인봉,987,4시간 - 5시간,상,여름/가을
2302011300,소백산,1440,2시간 40분 - 4시간 30분,중,여름/가을
2112130200,소요산,588,3시간 - 6시간 30분,중,봄/가을
2303021300,속리산,1058,5시간 10분,중,여름/겨울
1704041600,신불산,1159,3시간 50분 - 5시간 10분,중,가을
2803010100,연화산,524,2시간 15분 - 3시간 30분,하,봄/가을
2215072100,오대산,1565,5시간 30분 - 10시간 30분,상,여름/가을
2213103900,오봉산,778,3시간 20분 - 5시간 10분,중,여름
2130103000,용문산,1157,4시간 40분 - 7시간 25분,상,여름
2217011600,용화산,878,4시간 20분,중,여름
2720052300,운문산,1195,6시간 30분,상,가을/겨울
2101062700,운악산,935,4시간 20분,중,봄/가을
2515042400,운장산,1126,3시간 5분 - 5시간,하,여름
2307083700,월악산,1095,4시간 20분 - 5시간 20분,상,여름/가을
2601072300,월출산,811,4시간 40분 - 10시간 30분,상,봄/가을
2130093200,유명산,864,1시간 20분,하,여름/가을
2204113300,응봉산,1000,5시간,상,여름
2511992400,장안산,1237,4시간30분 - 5시간,중,가을
2807063600,재약산,1119,4시간30분 - 5시간,중,가을
2505061400,적상산,1031,4시간 - 4시간30분,하,여름/가을
2210012400,점봉산,1426,5시간,상,봄/여름
2611193200,조계산,887,5시간,하,여름
2721022000,주왕산,722,3시간30분 - 4시간,중,여름/가을
2707083600,주흘산,1108,4시간 - 4시간30분,상,여름/가을
2809040100,지리산,1915,5시간,중,봄/여름
2816132100,지리산(통영),399,5시간,하,봄/여름
2618021900,천관산,724,2시간30분 - 3시간,중,봄/가을
2111091500,천마산,810,3시간 - 3시간30분,상,가을/겨울
2810181300,천성산,920,5시간,하,여름
2304053500,천태산,714,3시간 - 3시간30분,상,봄/가을
2708013300,청량산,870,5시간,중,여름
2607102100,추월산,731,2시간30분 - 3시간,상,여름
2101033200,축령산,887,3시간 30분,중,봄/겨울
2209132600,치악산,1282,4시간 30분,상,가을
2414022100,칠갑산,560,2시간,하,가을
2214211300,태백산,1567,4시간 30분,중,봄/가을
2208064100,태화산,1028,6시간,하,봄/여름
1304461200,팔공산,1192,4시간 - 8시간,중,가을
2216075500,팔봉산,328,2시간 30분,중,겨울
2602132900,팔영산,607,3시간 30분 - 4시간 30분,중,가을
2902194100,한라산,1947,8시간,상,사계절
2101023600,화악산(중봉),1468,3시간 30분,중,봄/여름
2814140100,화왕산,758,1시간 30분 - 2시간,하,봄/가을
2820020300,황매산,1113,4시간 ,중,봄
2819072400,황석산,1193,6시간 30분,상,가을
2706133700,황악산,1111,3시간 - 5시간,중,봄
2707040400,황장산,1079,2시간 30분 - 3시간,하,겨울
2301072800,희양산,996,5시간,중,겨울
